SiO2,Si,1,2
TiO2,Ti,1,2
Al2O3,Al,1,2
Fe2O3,Fe,2,3
FeO,Fe,1,1
CaO,Ca,1,1
MgO,Mg,1,1
MnO,Mn,1,1
K2O,K,2,1
Na2O,Na,2,1
P2O5,P,2,5
Y2O3,Y,2,3
ZrO2,Zr,1,2
